Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
101,4511,44.54,45.64,0,0.73,9.09,Majority Black,2009,2059,0,33,410
102.01,8262,43.98,34.08,0.77,1.46,19.69,Majority White,3634,2816,64,121,1627
102.02,2886,42.65,25.74,0,6.76,24.84,Majority White,1231,743,0,195,717
103,7266,53.11,25.3,0.08,4.94,16.57,Majority White,3859,1838,6,359,1204
104,5624,66.87,20.95,0,5.25,6.93,Majority White,3761,1178,0,295,390
105.01,4153,52.54,32.84,0,5.08,9.54,Majority White,2182,1364,0,211,396
105.02,2663,60.57,24.3,0.34,8.45,6.35,Majority White,1613,647,9,225,169
105.03,2215,67.77,6.82,0,12.73,12.69,Majority White,1501,151,0,282,281
106,7036,56.91,19.93,0,1.96,21.21,Majority White,4004,1402,0,138,1492
107.01,4822,47.84,14.6,0,9.37,28.18,Majority White,2307,704,0,452,1359
107.02,6733,45.69,18.21,0,5.11,31,Majority White,3076,1226,0,344,2087
201,4461,31.92,23.83,0,23.02,21.23,Majority White,1424,1063,0,1027,947
202,7540,58.66,13.13,0,13.13,15.08,Majority White,4423,990,0,990,1137
203.01,5540,76.37,3.39,0.18,12.69,7.36,Majority White,4231,188,10,703,408
203.02,5500,64.13,11.76,0.8,10.07,13.24,Majority White,3527,647,44,554,728
204,5049,48.9,20.36,0,14.62,16.12,Majority White,2469,1028,0,738,814
205,7637,36.34,12.82,0,25.17,25.68,Majority White,2775,979,0,1922,1961
206.01,6276,58.52,10.01,2.98,22.32,6.17,Majority White,3673,628,187,1401,387
206.02,5006,48.92,9.31,0,22.99,18.78,Majority White,2449,466,0,1151,940
207.01,1847,68.87,4.17,0.22,14.89,11.86,Majority White,1272,77,4,275,219
207.02,8416,52.76,8.69,0,17.97,20.59,Majority White,4440,731,0,1512,1733
208.01,6383,57.18,1.72,0,18.96,22.14,Majority White,3650,110,0,1210,1413
208.02,8210,34.57,7.56,1.46,43.84,12.57,Majority Asian,2838,621,120,3599,1032
209.01,6877,37.87,17.96,0,18.41,25.77,Majority White,2604,1235,0,1266,1772
209.02,4994,54.63,10.19,0,19.86,15.32,Majority White,2728,509,0,992,765
301.01,4192,57.97,18.08,0.55,3.98,19.42,Majority White,2430,758,23,167,814
301.02,2761,60.63,17.57,0.76,10.29,10.76,Majority White,1674,485,21,284,297
301.03,2375,52.8,16.88,0.21,18.02,12.08,Majority White,1254,401,5,428,287
301.04,3529,60.7,9.27,0,16.95,13.09,Majority White,2142,327,0,598,462
302,5327,78.43,5.97,0.04,4.6,10.96,Majority White,4178,318,2,245,584
303,4349,54.27,4.25,0.34,11.8,29.34,Majority White,2360,185,15,513,1276
