OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
5750,1063837,Use Of Force, Injury,Unfounded,No Action Taken,2013,40.6331249,-89.3985283,M,Black,Police Officer,60
4524,1075019,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2015,40.6331249,-89.3985283,F,Black,Po As Detective,57
27722,1075019,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2015,40.6331249,-89.3985283,M,White,Po As Detective,58
22430,1078021,Use Of Force,Kicked,Not Sustained,Unknown,2015,41.5645283,-87.5318968,M,Hispanic,Police Officer,35
29894,1073929,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2013,41.5790388,-87.6630769,M,White,Po As Detective,54
27806,1073929,Use Of Force,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,2013,41.5790388,-87.6630769,M,White,Po As Detective,49
24628,1076934,Use Of Force, No Injury,No Affidavit,No Action Taken,2015,41.6354943,-87.5996014,M,White,Po As Detective,35
3168,1076934,Use Of Force, No Injury,No Affidavit,No Action Taken,2015,41.6354943,-87.5996014,M,White,Police Officer,39
1471,1088398,Use Of Force,Coercion ,No Affidavit,Unknown,2018,41.6392024,-87.4547635,F,White,Police Officer,37
18092,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Police Officer,51
1471,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,F,White,Police Officer,37
6582,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Po As Detective,48
21615,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,F,Hispanic,Sergeant Of Police,57
23492,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Lieutenant Of Police,41
27229,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Police Officer,39
19038,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Police Officer,39
29170,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Police Officer,48
14737,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,White,Police Officer,49
12932,1083899,Use Of Force,Civil Suits ,No Affidavit,Unknown,2016,41.6465396,-87.629069,M,Hispanic,Police Officer,52
12258,1068708,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.6517123,-87.539003,M,White,Po/Field Trning Off,36
7167,1068708,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.6517123,-87.539003,M,White,Police Officer,41
4202,1068641,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.651722,-87.547526,M,Hispanic,Police Officer,49
10072,1068641,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2014,41.651722,-87.547526,M,White,Police Officer,46
4202,1065989,Use Of Force, No Injury,No Affidavit,No Action Taken,2013,41.652518,-87.545568,M,Hispanic,Police Officer,49
4202,1059956,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.6535525,-87.547408,M,Hispanic,Police Officer,49
9460,1073794,Use Of Force, No Injury,Not Sustained,No Action Taken,2015,41.6550193,-87.6057563,F,Hispanic,Police Officer,55
16477,1073794,Use Of Force, No Injury,Not Sustained,No Action Taken,2015,41.6550193,-87.6057563,M,Black,Po As Detective,59
